Season,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,logORB,logDRB,logTRB,logMP,logPF,logPTS,logFGA,logFTA,logTOV,logEFG,logFGpct,logFTpct
1,11,Chris Andersen\anderch01,C,38,CLE,12,0,9.5,9,1.833333333,0.409,0,3,0,9,19,0.474,0.409,10,1.166666667,0.714,0.75,1.833333333,2.583333333,5,5,7,0.416666667,1.666666667,2.333333333,-0.287682072,0.606135804,0.949080555,2.251291799,0.510825624,0.84729786,0.606135804,0.15415068,-0.875468737,-0.894040123,-0.894040123,-0.336872317
1,12,Alan Anderson\anderal01,SF,34,LAC,30,0,10.26666667,30,2.666666667,0.375,14,44,0.318,16,36,0.444,0.463,12,0.533333333,0.75,0.1,0.7,0.8,11,3,0,0.233333333,1.166666667,2.866666667,-2.302585093,-0.356674944,-0.223143551,2.328902401,0.15415068,1.053149915,0.980829253,-0.628608659,-1.455287233,-0.770028225,-0.980829253,-0.287682072
1,13,Justin Anderson\anderju01,SF,23,TOT,75,10,16.37333333,186,5.853333333,0.424,58,194,0.299,128,245,0.522,0.49,102,1.72,0.791,0.92,2.346666667,3.266666667,66,41,23,0.88,1.453333333,7.093333333,-0.083381609,0.852995882,1.183770097,2.795653995,0.373859769,1.959155376,1.7670113,0.542324291,-0.127833372,-0.713349888,-0.858021824,-0.234457311
1,14,Kyle Anderson\anderky01,SF,23,SAS,72,14,14.16666667,93,2.902777778,0.445,15,40,0.375,78,169,0.462,0.481,45,0.791666667,0.789,0.458333333,2.430555556,2.888888889,91,51,26,0.541666667,0.875,3.416666667,-0.780158558,0.888119855,1.060871961,2.650891787,-0.133531393,1.228665417,1.065668133,-0.233614851,-0.613104473,-0.731888009,-0.809680997,-0.236988958
1,15,Ryan Anderson\anderry01,PF,28,HOU,72,72,29.38888889,323,10.73611111,0.418,204,506,0.403,119,267,0.446,0.55,129,2.083333333,0.86,1.555555556,3.027777778,4.583333333,68,31,14,0.763888889,1.972222222,13.59722222,0.441832752,1.107828944,1.522426535,3.380616674,0.679160939,2.609865524,2.37361293,0.733969175,-0.269332934,-0.597837001,-0.872273846,-0.15082289
1,16,Giannis Antetokounmpo\antetgi01,SF,22,MIL,80,80,35.5625,656,15.7375,0.521,49,180,0.272,607,1079,0.563,0.541,471,7.65,0.77,1.775,6.975,8.75,434,131,151,2.925,3.075,22.9,0.573800423,1.942332328,2.1690537,3.571291712,1.123304901,3.131136911,2.756046399,2.034705648,1.073294481,-0.614336,-0.652005237,-0.261364764
1,17,Carmelo Anthony\anthoca01,SF,32,NYK,74,74,34.2972973,602,18.77027027,0.433,151,421,0.359,451,968,0.466,0.488,304,4.932432432,0.833,0.837837838,5.081081081,5.918918919,213,60,34,2.067567568,2.675675676,22.41891892,-0.176930708,1.62552405,1.778153817,3.535066555,0.984201937,3.109905197,2.93227425,1.59583226,0.726372828,-0.717439873,-0.837017551,-0.182721637
1,18,Joel Anthony\anthojo01,C,34,SAS,19,0,6.421052632,10,0.842105263,0.625,0,0,,10,16,0.625,0.625,5,0.421052632,0.625,0.421052632,1.210526316,1.631578947,3,2,6,0.210526316,0.578947368,1.315789474,-0.864997437,0.191055237,0.489548225,1.859582066,-0.546543706,0.274436846,-0.171850257,-0.864997437,-1.558144618,-0.470003629,-0.470003629,-0.470003629
1,19,Trevor Ariza\arizatr01,SF,31,HOU,80,80,34.6625,326,9.975,0.409,191,555,0.344,135,243,0.556,0.528,93,1.575,0.738,0.675,5.05,5.725,175,147,20,0.9125,1.6625,11.7,-0.393042588,1.619388243,1.744842549,3.545658411,0.508322494,2.459588842,2.300081963,0.454255272,-0.091567194,-0.638658995,-0.894040123,-0.303811454
1,20,Darrell Arthur\arthuda01,PF,28,DEN,41,7,15.58536585,95,5.243902439,0.442,53,117,0.453,42,98,0.429,0.565,19,0.536585366,0.864,0.609756098,2.12195122,2.731707317,42,19,21,0.87804878,1.853658537,6.390243902,-0.494696242,0.752336052,1.004926805,2.746332388,0.617161274,1.854772437,1.657065961,-0.622529613,-0.130053128,-0.570929548,-0.816445397,-0.14618251
